site,country,label,n,n_positive,pi_s,pi_t_true,pi_t_bbse,prior_ratio,total,d_label,d_concept,interaction,residual,free_fraction,free_fraction_bbse,realized_gain,realized_gain_bbse,ece_before,ece_after_prior_fix,ece_l1,d_label_l1,d_concept_l1,sign_agreement,gamma_min,gof_p,concept_shift_detected,reliable_estimate
georgia_like,US,AF,2500,232,0.12578616352201258,0.0928,0.10930327182697723,0.73776,0.00381493704502496,0.000923120238736596,0.0009350188791387517,0.0019567979271496124,-4.336808689942018e-19,0.24197522209191694,0.05559027172982846,0.4529572619558849,0.22099571449298344,0.04268202085007016,0.02334888955107839,0.04268202085007017,0.01994956928444649,0.023348889551078396,0.7332000000000001,0.17644094488188972,0.030241962150709314,True,True
georgia_like,US,IAVB,2500,178,0.08050314465408805,0.0712,0.15098804829217982,0.8844375,0.003236827120789318,0.00015146995755761317,0.002168229409418433,0.0009171277538132712,8.673617379884035e-19,0.046795813277996874,1.0,0.14363836683471146,-1.5468506848349828,0.039368256243765436,0.033713464211780536,0.039368256243765436,0.010284269803677202,0.03371346421178054,0.5332000000000001,0.10447142857142855,0.6045575915239279,False,True
georgia_like,US,RBBB,2500,156,0.06792452830188679,0.0624,0.06861017765407343,0.9186666666666666,3.4853670906945715e-05,5.978677274277859e-06,4.8148569067706464e-05,-1.9273575435038605e-05,-6.776263578034403e-21,0.17153651591650323,0.00241520486238059,0.05234781296723293,-0.005686019097679862,0.00442639931019802,0.004194686986989485,0.004426399310198021,0.0008887681900277818,0.004194686986989486,0.8,0.09032246696035243,0.6965204769602689,False,True
georgia_like,US,LBBB,2500,79,0.018867924528301886,0.0316,0.04027663023111966,1.6748000000000003,-0.00010025477723807119,5.02465737814271e-06,-9.417449666532806e-05,-1.110493795088584e-05,0.0,,,-9.461046760669639,-14.031972426372882,6.126540969851893e-05,0.0006409003156677898,6.126540969851893e-05,0.0005796349059692708,0.0006409003156677898,0.0,0.1133714285714286,0.03954504307328304,True,True
georgia_like,US,SB,2500,187,0.0830188679245283,0.0748,0.09771318655950134,0.9010000000000001,0.0007216315176966994,4.9713808293250484e-05,0.0004888118584594318,0.00018310585094401724,-1.0842021724855044e-19,0.0688908495182234,0.17645318628944856,0.21541132680662547,-0.3887618364931196,0.012188319729012683,0.009562817604642691,0.012188319729012685,0.0029483810024250557,0.009562817604642695,0.9332000000000001,0.11567504553734059,0.434520818198855,False,True
georgia_like,US,STACH,2500,227,0.09182389937106918,0.0908,0.07753567940296655,0.9888493150684933,-4.6838748505452655e-05,4.413521822316255e-07,-3.958044003998337e-05,-7.699660647700906e-06,0.0,,,-0.04435641912908747,-0.661989671637239,0.005252538822910284,0.005485522636431097,0.005252538822910286,0.0002780127148615275,0.005485522636431098,0.8,0.16491410048622362,0.015275404733789359,True,True
ptbxl_like,DE,AF,2500,203,0.12578616352201258,0.0812,0.0,0.64554,0.006656269929925091,0.00048472432713908195,0.01064593271588924,-0.004474387113103233,1.734723475976807e-18,0.07282221608229415,1.0,-0.2033815227798295,-1.081870186771427,0.039003392486217064,0.04693596184364325,0.03900339248621708,0.007952676982799457,0.046935961843643265,0.13360000000000002,0.8098141732283464,8.63236982660363e-161,True,True
ptbxl_like,DE,IAVB,2500,105,0.08050314465408805,0.042,0.02468288539707569,0.52171875,0.006091920905835447,0.002513333482315718,0.001200065890820917,0.002378521532698813,-1.734723475976807e-18,0.4125683050001844,0.9214411164775514,0.5072853962730758,0.5744581056472481,0.05488580763810694,0.02704303896064205,0.054885807638106944,0.04016485620676223,0.027043038960642057,0.40000000000000013,0.1336112676056338,0.23193025070577708,False,True
ptbxl_like,DE,RBBB,2500,147,0.06792452830188679,0.0588,0.11253684470402828,0.8656666666666667,0.00468528511254831,4.676641281264685e-05,0.0039039136027826304,0.0007346050969530332,-8.673617379884035e-19,0.00998155110932209,0.15845127457369215,0.09041008453697913,-0.3668543581336024,0.0293756937120159,0.026719834760180135,0.029375693712015906,0.002655858951835769,0.02671983476018014,1.0,0.7190414096916299,9.411806571799007e-109,True,True
ptbxl_like,DE,LBBB,2500,72,0.018867924528301886,0.0288,0.0,1.5264,0.0002914744729886397,8.05005760000227e-06,0.00018743741958222523,9.598699580641225e-05,-5.421010862427522e-20,0.02761839662136047,1.0,0.1436391941586966,-4.641284436726589,0.005105220331118684,0.004371910596754202,0.005105220331118685,0.0007333106632571327,0.004371910596754203,0.06680000000000001,0.280923076923077,1.7325983094268475e-10,True,True
ptbxl_like,DE,SB,2500,72,0.0830188679245283,0.0288,0.19296784858768462,0.34690909090909094,0.03562961999221955,0.00672884139504291,0.013597954282714162,0.015302824314462471,6.938893903907228e-18,0.1888552669523921,0.18362544143254667,0.4849870879356334,-0.5239372832640963,0.08269192159214192,0.04258740734336729,0.08269192159214195,0.04010451424877464,0.042587407343367294,1.0,0.44667878787878795,2.1813839622146193e-36,True,True
ptbxl_like,DE,STACH,2500,91,0.09182389937106918,0.0364,0.005637582999646664,0.39641095890410966,-1.7728604718117944e-05,0.0009587041984888873,0.0005546823638121473,-0.0015311151670191526,1.4230153513872246e-19,,,-0.828909940796944,-3.856102952154042,0.004182450926336959,0.007649326076073052,0.004182450926336961,0.009675806560256845,0.007649326076073053,0.9332,0.3900058346839546,5.0759770176778825e-22,True,True
chapman_like,CN,AF,2500,188,0.12578616352201258,0.0752,0.046963527424190896,0.59784,0.003490115191781047,0.0017122387838020602,0.0005589284975173385,0.001218947910461648,4.336808689942018e-19,0.4905966392840703,1.0,0.37262969528443424,0.3486552387675906,0.03442215978027397,0.021595440870318373,0.034422159780273985,0.023058932605521606,0.021595440870318373,0.13360000000000002,0.19394645669291333,6.502810740552011e-06,True,True
chapman_like,CN,IAVB,2500,150,0.08050314465408805,0.06,0.22989329612327858,0.7453125,0.009769972673853669,0.0009261490871176152,0.005377900486219659,0.0034659231005163956,0.0,0.09479546340965403,1.0,0.2727243745915686,-2.06364114470301,0.06278673148099526,0.04566325940519207,0.06278673148099527,0.023928146666129572,0.045663259405192086,0.5332000000000001,0.19291428571428568,0.0003719375279821017,True,True
chapman_like,CN,RBBB,2500,182,0.06792452830188679,0.0728,0.3644227646125802,1.071777777777778,0.10091625958729517,6.172670089363885e-05,0.1047257985556379,-0.0038712656692364033,2.7755575615628914e-17,0.0006116625917971491,0.5440326609461333,-0.027037528312291673,-0.8960066681299702,0.18607561707749942,0.19110664184245946,0.18607561707749945,0.005031024764960031,0.19110664184245948,0.0,0.9665656387665198,0.0,True,True
chapman_like,CN,LBBB,2500,39,0.018867924528301886,0.0156,0.0,0.8268,0.0006138814323478664,3.7850298141610136e-07,0.0006464853481779548,-3.2982418811504435e-05,0.0,0.0006165734317268227,1.0,-0.023490953725495124,-1.304636873788839,0.0067689622505924295,0.00692797162959072,0.0067689622505924295,0.00015900948307497162,0.00692797162959072,0.9332,0.40732307692307695,2.6936156118557196e-21,True,True
chapman_like,CN,SB,2500,432,0.0830188679245283,0.1728,0.16099118286267164,2.081454545454546,0.009341129150329235,0.004647487672686479,0.001970646377864695,0.002722995099778062,0.0,0.49752953822747165,0.40321850121510644,0.41257024552655647,0.3865789133806473,0.04168987757259573,0.024489874546497828,0.041689877572595735,0.03416044754552093,0.02448987454649784,0.33360000000000006,0.12642424242424244,0.022951804308228196,True,True
chapman_like,CN,STACH,2500,140,0.09182389937106918,0.056,0.04369771266843071,0.6098630136986302,0.00029958345630781333,0.0004782503872610115,6.127632189879328e-07,-0.00017927969417218606,-5.421010862427522e-20,1.0,1.0,0.4956446851196611,0.38988522088859623,0.009441064403182986,0.004761651009872914,0.009441064403182988,0.009066907243747136,0.004761651009872915,0.9332,0.2722411669367909,1.5751871064448674e-15,True,True
code15_like,BR,AF,2500,37,0.12578616352201258,0.0148,0.63346486933493,0.11766,0.2730068632623165,0.10323416757469,0.06093568488333326,0.10883701080429323,0.0,0.37813762753465385,0.4896837585349234,0.6381755189626809,-0.761990928560882,0.4219533596253436,0.15267305536839323,0.42195335962534364,0.2692803042569504,0.15267305536839326,1.0,0.43720000000000003,2.138478283481943e-28,True,True
code15_like,BR,IAVB,2500,50,0.08050314465408805,0.02,0.5619765333980465,0.2484375,0.02474870937569002,0.014638210518418121,0.0014698796637396252,0.008640619193532283,-6.938893903907228e-18,0.5914736924745189,1.0,0.7829609898164637,-3.9904768513084,0.1156415013630421,0.025098716991972723,0.11564150136304212,0.0959101239297233,0.025098716991972726,0.7332000000000001,0.23639183673469388,2.079223370539217e-08,True,True
code15_like,BR,RBBB,2500,65,0.06792452830188679,0.026,0.004862831304724256,0.3827777777777778,0.002824113446104309,0.0001656046629795288,0.004380430605357133,-0.0017219218222323507,-1.734723475976807e-18,0.05863952215091439,0.30090380572417763,-0.2367714368653313,-0.5371483778072963,0.01398790278484201,0.017299838625941623,0.013987902784842014,0.003340068126765367,0.017299838625941626,0.9332,0.8661427312775332,5.556458086575051e-252,True,True
code15_like,BR,LBBB,2500,19,0.018867924528301886,0.0076,0.7507959682210744,0.4028,0.0014234558074533899,0.00020943370610823026,0.0005255701821189551,0.0006884519192262048,-2.168404344971009e-19,0.1471304588534534,1.0,0.384937735904996,-7.070316930219057,0.01020316241312384,0.006275580174744994,0.010203162413123842,0.0039275822383788486,0.006275580174744995,1.0,0.8256000000000001,0.0,True,False
code15_like,BR,SB,2500,100,0.0830188679245283,0.04,0.18619672572039184,0.48181818181818187,0.012976315726621073,0.0036069389864570754,0.0032133464423180318,0.0061560302978459665,-1.734723475976807e-18,0.2779632572485421,0.4992728585928031,0.5630501583767993,-0.8301350540701042,0.05156258231261833,0.02253026217518183,0.051562582312618344,0.029032320137436507,0.022530262175181837,1.0,0.577959927140255,2.081419407108074e-53,True,True
code15_like,BR,STACH,2500,66,0.09182389937106918,0.0264,0.0,0.28750684931506854,0.0008597763179584928,0.0009579765314475379,0.0036971628326413347,-0.0037953630461303794,-5.421010862427522e-19,1.0,1.0,-0.6925374984660226,-1.7270138856534964,0.009680918802389433,0.016385318092648895,0.009680918802389435,0.009243338330752221,0.0163853180926489,0.9332,0.2988615883306321,4.953893003095007e-12,True,True
