site,country,is_source,label,n,n_positive,prevalence,prevalence_source,prevalence_ratio,mean_score,auroc,auroc_lo,auroc_hi,auprc,ece,ece_lo,ece_hi,ece2,mce,nll,brier,reliability,resolution,reliable_estimate
mimic_like,US,True,AF,792,95,0.11994949494949494,0.12578616352201258,0.9535984848484849,0.11477759054489158,0.9358000453069546,0.9106780940874425,0.9570123839009288,0.7610491313030241,0.01659050364725977,0.014459392033238115,0.03530000221523504,-0.0005939055289935097,0.04459319952904356,0.1829605322614826,0.05302435877601612,0.00046575694853800227,0.05064103628461834,True
mimic_like,US,True,IAVB,792,66,0.08333333333333333,0.08050314465408805,1.03515625,0.09575409332328033,0.633254027882127,0.558392812421738,0.7075867142499374,0.166277560766875,0.046158015747008105,0.03639545451465568,0.06947454739437317,0.001996116463171215,0.15294215301215772,0.2827455907971883,0.07604854700256963,0.003425172310928506,0.0023726928208060286,True
mimic_like,US,True,RBBB,792,47,0.059343434343434344,0.06792452830188679,0.8736672278338945,0.06043019420324042,0.9941453662715979,0.990058546337284,0.9976581465086392,0.9152459137819653,0.010351931482774183,0.0027871405629335795,0.017026072813448215,0.00040484595440044206,0.0809146526647383,0.05105508638436672,0.014532215249526179,0.0007594441863571646,0.037382683082011266,True
mimic_like,US,True,LBBB,792,19,0.023989898989898988,0.018867924528301886,1.2714646464646464,0.022484692097010935,0.9998638251514945,0.9994553006059781,1.0,0.9949874686716792,0.0015053709905570294,3.262485652491134e-05,0.004512125716566861,-0.00026209650000958703,0.02249412909140097,0.004904140710759416,0.0012724388390429444,3.386016387160518e-05,0.008024637214531437,False
mimic_like,US,True,SB,792,72,0.09090909090909091,0.0830188679245283,1.0950413223140496,0.09127901456184119,0.9888503086419753,0.9822328317901234,0.9939636381172839,0.8389868220613339,0.00827000403925494,0.0036140359130068106,0.01965619461861236,-0.00019500158776283708,0.059027015718034814,0.07827396655108777,0.023896803815768246,0.0003547631129452598,0.0540568636623525,True
mimic_like,US,True,STACH,792,71,0.08964646464646464,0.09182389937106918,0.9762868410128684,0.09443540473318868,0.9897833603563126,0.984394717821492,0.9946284503135316,0.9099263234981843,0.010458616254340367,0.005037489274860896,0.020552603245484496,-0.0001166046783157184,0.04482361476590137,0.075521198473278,0.023472221283707927,0.0003525278662885243,0.05721508370343419,True
georgia_like,US,False,AF,2500,232,0.0928,0.12578616352201258,0.73776,0.13388254171706326,0.9353961412151067,0.9172766811865232,0.9549587495438788,0.7456487759170798,0.04268202085007016,0.03603731252831591,0.04980742393616588,0.0038149370450249595,0.14961746346107802,0.16954889311586727,0.045794040630136715,0.004080931496428833,0.04007614787966236,True
georgia_like,US,False,IAVB,2500,178,0.0712,0.08050314465408805,0.8844375,0.09687424079055686,0.6051592486136516,0.5643553600634865,0.6414475244123141,0.11952263938740483,0.039368256243765436,0.03547405906112264,0.05156824633340524,0.0032368271207893168,0.1700389370057976,0.2627861050126829,0.0686154910473976,0.003631123041543646,0.0007987368992136211,True
georgia_like,US,False,RBBB,2500,156,0.0624,0.06792452830188679,0.9186666666666666,0.06027095001444492,0.9946262142294565,0.9915941273956419,0.9972934852761005,0.9399991466322698,0.00442639931019802,0.0014746072962296642,0.008582589777922894,3.485367090694571e-05,0.04168640305272821,0.04317437291502002,0.011938088581493611,0.0001357554817431047,0.04175894903975182,True
georgia_like,US,False,LBBB,2500,79,0.0316,0.018867924528301886,1.6748000000000003,0.03166126540969853,0.9998013165393524,0.999455581175265,1.0,0.9938914507027727,6.126540969851893e-05,2.715356059789809e-05,0.0016760685229937785,-0.00010025477723807119,0.000911037230821421,0.006102380358216115,0.0013324808472303339,5.54456895675022e-08,0.013949942994011977,True
georgia_like,US,False,SB,2500,187,0.0748,0.0830188679245283,0.9010000000000001,0.0869883197290127,0.9851571332459408,0.9811429122999277,0.9891202595883302,0.790727015748588,0.012188319729012683,0.007452926429848517,0.01776224883990463,0.0007216315176966993,0.10733257809965979,0.08550211017794043,0.02680558480634421,0.0008961045650302907,0.040251897450400406,True
georgia_like,US,False,STACH,2500,227,0.0908,0.09182389937106918,0.9888493150684933,0.08925068068187665,0.9910595750536367,0.9877991689455415,0.9937724213182524,0.9095047831574743,0.005252538822910284,0.003540704774881321,0.010455220785361218,-4.683874850545266e-05,0.029872763708470806,0.0713916862513729,0.02065213504341204,8.979881973156728e-05,0.059898423271048266,True
ptbxl_like,DE,False,AF,2500,203,0.0812,0.12578616352201258,0.64554,0.04224873758303642,0.9461516520799244,0.9267635178461519,0.9646065975967797,0.7278960414057823,0.039003392486217064,0.035051387962260545,0.0436107541564717,0.00665626992992509,0.27446124239835434,0.1676791542221889,0.04319507393852782,0.006862139548847158,0.040472918848567935,True
ptbxl_like,DE,False,IAVB,2500,105,0.042,0.08050314465408805,0.52171875,0.08794907355005434,0.5751187990853962,0.5206991748682772,0.6303543095735162,0.05438812223527434,0.05488580763810694,0.04940543644487838,0.06351336797187858,0.006091920905835446,0.21894908157888793,0.2007294847902185,0.04652148557388523,0.006332067731570613,0.0004299109732342544,True
ptbxl_like,DE,False,RBBB,2500,147,0.0588,0.06792452830188679,0.8656666666666667,0.08817569371201589,0.9950360084535301,0.9932291531147095,0.9970588277810062,0.9073338444691927,0.0293756937120159,0.02403274568955631,0.03535360010182129,0.004685285112548309,0.1993940973569715,0.07719967165637102,0.019964550680509008,0.004784845028860263,0.03881561389221557,True
ptbxl_like,DE,False,LBBB,2500,72,0.0288,0.018867924528301886,1.5264,0.023694781382674234,0.9998283909939594,0.9995593938769907,0.9999713984989932,0.9945579256574675,0.005105220331118684,0.0032136799243084268,0.007271723173389607,0.0002914744729886397,0.07642544123087153,0.016753632656490606,0.0036533611521179614,0.0003901686508978814,0.01158732646706587,True
ptbxl_like,DE,False,SB,2500,72,0.0288,0.0830188679245283,0.34690909090909094,0.1114919215921419,0.9510571114772103,0.9371018671059858,0.9639200645249862,0.3494133657232245,0.08269192159214192,0.07358205740286665,0.09066817097405902,0.03562961999221954,0.5801234170413596,0.18267148944498263,0.058467349045046794,0.03576644863504342,0.0052797873284755785,True
ptbxl_like,DE,False,STACH,2500,91,0.0364,0.09182389937106918,0.39641095890410966,0.04058245092633697,0.9962092701818729,0.99437959300973,0.9976826826141895,0.8976424849068733,0.004182450926336959,0.00263171936354277,0.007476042950934386,-1.772860471811795e-05,0.027687831918829706,0.03282987009062464,0.009545294182007816,8.206217516789314e-05,0.018509770538922155,True
chapman_like,CN,False,AF,2500,188,0.0752,0.12578616352201258,0.59784,0.09175306243310932,0.8594060590443937,0.8260052202201281,0.8865351565375837,0.5321869265302229,0.03442215978027397,0.02780502534982027,0.043594697388107645,0.0034901151917810457,0.19048208807841094,0.20208672948706247,0.052311412599897515,0.0038038496068501407,0.017535364732703267,True
chapman_like,CN,False,IAVB,2500,150,0.06,0.08050314465408805,0.7453125,0.10573638504673709,0.5874780141843972,0.5461780141843972,0.6285134751773049,0.08472446089882632,0.06278673148099526,0.05403966698653136,0.07234396728047371,0.009769972673853666,0.3193718595968251,0.25475886161967987,0.06607642974446067,0.010105724303125244,0.00075470745256475,True
