site,country,label,method,alpha,n_cal,coverage_mean,coverage_p05,coverage_sd,review_rate,mean_set_size,valid,n_positive,reliable_estimate
georgia_like,US,AF,split_target,0.1,100,0.8985,0.8401666666666666,0.030387200339031643,0.068175,0.9341583333333334,False,232,True
georgia_like,US,AF,weighted_source,0.1,100,0.897875,0.89625,0.0011280821975567497,0.06811666666666667,0.9318833333333332,False,232,True
georgia_like,US,AF,hybrid_g0,0.1,100,0.897875,0.89625,0.0011280821975567497,0.06811666666666667,0.9318833333333332,False,232,True
georgia_like,US,AF,hybrid_g0.02,0.1,100,0.9143416666666667,0.9126875,0.0010243222691668497,0.04686666666666667,0.9531333333333333,True,232,True
georgia_like,US,AF,hybrid_g0.05,0.1,100,0.9455583333333334,0.9443541666666667,0.0009265002848233683,0.003183333333333333,1.0031833333333333,True,232,True
georgia_like,US,IAVB,split_target,0.1,100,0.9052666666666666,0.8610833333333333,0.02690644284677309,0.04364166666666667,0.983675,True,178,True
georgia_like,US,IAVB,weighted_source,0.1,100,0.9075583333333332,0.9058333333333334,0.0011426394882026413,0.026025,0.973975,True,178,True
georgia_like,US,IAVB,hybrid_g0,0.1,100,0.9075583333333332,0.9058333333333334,0.0011426394882026413,0.026025,0.973975,True,178,True
georgia_like,US,IAVB,hybrid_g0.02,0.1,100,0.9188500000000002,0.9170833333333334,0.0010978514370249628,0.013116666666666667,0.9868833333333333,True,178,True
georgia_like,US,IAVB,hybrid_g0.05,0.1,100,0.9488083333333335,0.9475,0.0008498774421448422,0.19314166666666663,1.1931416666666668,True,178,True
georgia_like,US,RBBB,split_target,0.1,100,0.9036166666666667,0.8562083333333333,0.02677963571240074,0.0946833333333333,0.9053166666666667,True,156,True
georgia_like,US,RBBB,weighted_source,0.1,100,0.8844249999999999,0.8825,0.0012880055641701714,0.11477499999999999,0.8852249999999999,False,156,True
georgia_like,US,RBBB,hybrid_g0,0.1,100,0.8844249999999999,0.8825,0.0012880055641701714,0.11477499999999999,0.8852249999999999,False,156,True
georgia_like,US,RBBB,hybrid_g0.02,0.1,100,0.9004249999999999,0.89875,0.0012061474481449824,0.09837500000000002,0.9016249999999999,True,156,True
georgia_like,US,RBBB,hybrid_g0.05,0.1,100,0.9439000000000002,0.9426875,0.0007851043808875968,0.05210833333333333,0.9478916666666666,True,156,True
georgia_like,US,LBBB,split_target,0.1,100,0.8924583333333332,0.84375,0.031570495411943664,0.10754166666666666,0.8924583333333332,False,79,True
georgia_like,US,LBBB,weighted_source,0.1,100,0.8972083333333333,0.8956041666666666,0.0011614466553971964,0.10279166666666668,0.8972083333333333,False,79,True
georgia_like,US,LBBB,hybrid_g0,0.1,100,0.8972083333333333,0.8956041666666666,0.0011614466553971964,0.10279166666666668,0.8972083333333333,False,79,True
georgia_like,US,LBBB,hybrid_g0.02,0.1,100,0.9168749999999999,0.9151875,0.0011372786719963442,0.083125,0.9168749999999999,True,79,True
georgia_like,US,LBBB,hybrid_g0.05,0.1,100,0.9461916666666665,0.945,0.0008936892947527021,0.05380833333333333,0.9461916666666665,True,79,True
georgia_like,US,SB,split_target,0.1,100,0.904525,0.8503958333333334,0.033937648096668875,0.084,0.9159999999999999,True,187,True
georgia_like,US,SB,weighted_source,0.1,100,0.8880416666666666,0.8860208333333334,0.0014391596699308794,0.10674166666666667,0.8932583333333333,False,187,True
georgia_like,US,SB,hybrid_g0,0.1,100,0.8880416666666666,0.8860208333333334,0.0014391596699308794,0.10674166666666667,0.8932583333333333,False,187,True
georgia_like,US,SB,hybrid_g0.02,0.1,100,0.914975,0.9133333333333333,0.0012676805153069518,0.075,0.9250000000000002,True,187,True
georgia_like,US,SB,hybrid_g0.05,0.1,100,0.9438333333333334,0.9425,0.001099242163189409,0.032174999999999995,0.9678249999999999,True,187,True
georgia_like,US,STACH,split_target,0.1,100,0.9040166666666667,0.8621666666666666,0.023306943409874898,0.08989166666666668,0.9101083333333332,True,227,True
georgia_like,US,STACH,weighted_source,0.1,100,0.9284833333333333,0.9272708333333334,0.0008025999418556346,0.062383333333333325,0.9376166666666667,True,227,True
georgia_like,US,STACH,hybrid_g0,0.1,100,0.9276583333333335,0.9264375,0.0007988272654335102,0.06320833333333334,0.9367916666666667,True,227,True
georgia_like,US,STACH,hybrid_g0.02,0.1,100,0.9397083333333334,0.9383333333333334,0.0008090203266228135,0.049216666666666666,0.9507833333333334,True,227,True
georgia_like,US,STACH,hybrid_g0.05,0.1,100,0.964075,0.9629166666666666,0.0007182637243922194,0.015283333333333333,0.9847166666666667,True,227,True
ptbxl_like,DE,AF,split_target,0.1,100,0.9002833333333332,0.8307291666666666,0.03179813062290158,0.07284166666666667,0.9277916666666667,True,203,True
ptbxl_like,DE,AF,weighted_source,0.1,100,0.930025,0.9283333333333333,0.0010117709995624232,0.028716666666666665,0.9712833333333333,True,203,True
ptbxl_like,DE,AF,hybrid_g0,0.1,100,0.930025,0.9283333333333333,0.0010117709995624232,0.028716666666666665,0.9712833333333333,True,203,True
ptbxl_like,DE,AF,hybrid_g0.02,0.1,100,0.9359750000000001,0.9345833333333333,0.0009632482661402632,0.018299999999999997,0.9817000000000001,True,203,True
ptbxl_like,DE,AF,hybrid_g0.05,0.1,100,0.9438666666666665,0.9426875,0.0008459051693633085,0.002416666666666667,0.9975833333333335,True,203,True
ptbxl_like,DE,IAVB,split_target,0.1,100,0.8964583333333335,0.8567708333333334,0.02848674764985759,0.0656,0.9344,False,105,True
ptbxl_like,DE,IAVB,weighted_source,0.1,100,0.9035166666666666,0.9020833333333333,0.0011278051447144817,0.05798333333333333,0.9420166666666665,True,105,True
ptbxl_like,DE,IAVB,hybrid_g0,0.1,100,0.9035166666666666,0.9020833333333333,0.0011278051447144817,0.05798333333333333,0.9420166666666665,True,105,True
ptbxl_like,DE,IAVB,hybrid_g0.02,0.1,100,0.9238416666666666,0.9225,0.0009438764631972513,0.03600833333333333,0.9639916666666665,True,105,True
ptbxl_like,DE,IAVB,hybrid_g0.05,0.1,100,0.9506166666666667,0.9495833333333333,0.0008217528690414057,0.007233333333333333,0.9927666666666667,True,105,True
ptbxl_like,DE,RBBB,split_target,0.1,100,0.8953583333333333,0.8485208333333334,0.030399082816938917,0.09829166666666668,0.9017083333333333,False,147,True
ptbxl_like,DE,RBBB,weighted_source,0.1,100,0.7692083333333332,0.76625,0.0018823928330127548,0.22918333333333338,0.7708166666666668,False,147,True
ptbxl_like,DE,RBBB,hybrid_g0,0.1,100,0.7692083333333332,0.76625,0.0018823928330127548,0.22918333333333338,0.7708166666666668,False,147,True
ptbxl_like,DE,RBBB,hybrid_g0.02,0.1,100,0.8111000000000002,0.8085208333333334,0.001705302188925925,0.18689166666666668,0.8131083333333333,False,147,True
ptbxl_like,DE,RBBB,hybrid_g0.05,0.1,100,0.8870083333333334,0.8854166666666666,0.0012295267834053554,0.10815833333333336,0.8918416666666666,False,147,True
ptbxl_like,DE,LBBB,split_target,0.1,100,0.8998416666666668,0.8337916666666667,0.03390477780982105,0.10015833333333331,0.8998416666666668,False,72,True
ptbxl_like,DE,LBBB,weighted_source,0.1,100,0.9497583333333334,0.94875,0.00086638617255817,0.05024166666666667,0.9497583333333334,True,72,True
ptbxl_like,DE,LBBB,hybrid_g0,0.1,100,0.9497583333333334,0.94875,0.00086638617255817,0.05024166666666667,0.9497583333333334,True,72,True
ptbxl_like,DE,LBBB,hybrid_g0.02,0.1,100,0.9585250000000002,0.9570833333333333,0.0008788012668781634,0.041475,0.9585250000000002,True,72,True
ptbxl_like,DE,LBBB,hybrid_g0.05,0.1,100,0.9668833333333333,0.9658333333333333,0.0007228416147400404,0.03311666666666667,0.9668833333333333,True,72,True
ptbxl_like,DE,SB,split_target,0.1,100,0.8986916666666666,0.8519791666666667,0.023941190968704958,0.040325,0.9679583333333333,False,72,True
ptbxl_like,DE,SB,weighted_source,0.1,100,0.7433416666666665,0.740375,0.0016018435559622508,0.2518166666666667,0.7481833333333333,False,72,True
ptbxl_like,DE,SB,hybrid_g0,0.1,100,0.7433416666666665,0.740375,0.0016018435559622508,0.2518166666666667,0.7481833333333333,False,72,True
ptbxl_like,DE,SB,hybrid_g0.02,0.1,100,0.7789250000000001,0.7764375,0.0014242200594633497,0.2114,0.7885999999999999,False,72,True
ptbxl_like,DE,SB,hybrid_g0.05,0.1,100,0.8544416666666667,0.8522708333333333,0.0013427014642958496,0.10815000000000001,0.8918499999999999,False,72,True
ptbxl_like,DE,STACH,split_target,0.1,100,0.8960416666666666,0.8260208333333333,0.03576216284939526,0.10361666666666665,0.8963833333333332,False,91,True
ptbxl_like,DE,STACH,weighted_source,0.1,100,0.9571916666666668,0.9560208333333333,0.0008114202226822843,0.040383333333333334,0.9596166666666668,True,91,True
ptbxl_like,DE,STACH,hybrid_g0,0.1,100,0.9571916666666668,0.9560208333333333,0.0008114202226822843,0.040383333333333334,0.9596166666666668,True,91,True
ptbxl_like,DE,STACH,hybrid_g0.02,0.1,100,0.9644916666666665,0.9633333333333334,0.0007230817534845039,0.032325,0.9676750000000002,True,91,True
ptbxl_like,DE,STACH,hybrid_g0.05,0.1,100,0.9781083333333332,0.9775,0.000641233620107016,0.014333333333333333,0.9856666666666665,True,91,True
chapman_like,CN,AF,split_target,0.1,100,0.9003583333333335,0.8476875,0.03260751553621411,0.055483333333333336,0.9486333333333334,True,188,True
chapman_like,CN,AF,weighted_source,0.1,100,0.8981166666666667,0.8966666666666666,0.0011094292827095122,0.05831666666666666,0.9416833333333332,False,188,True
chapman_like,CN,AF,hybrid_g0,0.1,100,0.8981166666666667,0.8966666666666666,0.0011094292827095122,0.05831666666666666,0.9416833333333332,False,188,True
chapman_like,CN,AF,hybrid_g0.02,0.1,100,0.9125000000000001,0.9108333333333334,0.0010992421631893974,0.03874166666666667,0.9612583333333333,True,188,True
chapman_like,CN,AF,hybrid_g0.05,0.1,100,0.9305416666666667,0.9291666666666667,0.0009547032697824595,0.006750000000000001,0.9932499999999999,True,188,True
chapman_like,CN,IAVB,split_target,0.1,100,0.9013666666666666,0.8559791666666667,0.025011669498678234,0.04275,0.9613166666666667,True,150,True
chapman_like,CN,IAVB,weighted_source,0.1,100,0.8614333333333332,0.8593541666666666,0.0011430952132988178,0.08564166666666667,0.9143583333333334,False,150,True
chapman_like,CN,IAVB,hybrid_g0,0.1,100,0.8614333333333332,0.8593541666666666,0.0011430952132988178,0.08564166666666667,0.9143583333333334,False,150,True
chapman_like,CN,IAVB,hybrid_g0.02,0.1,100,0.8863000000000001,0.8845833333333334,0.0010949378470437841,0.05795833333333333,0.9420416666666667,False,150,True
chapman_like,CN,IAVB,hybrid_g0.05,0.1,100,0.9554583333333332,0.9543541666666667,0.0007324331596352981,0.16909166666666667,1.1690916666666666,True,150,True
chapman_like,CN,RBBB,split_target,0.1,100,0.9020833333333332,0.8629375,0.02540395857166972,0.15950833333333336,1.1595083333333334,True,182,True
chapman_like,CN,RBBB,weighted_source,0.1,100,0.3671833333333334,0.3639375,0.0022056745000112762,0.617625,0.382375,False,182,True
chapman_like,CN,RBBB,hybrid_g0,0.1,100,0.36443333333333333,0.36102083333333335,0.0022634781495153257,0.6203749999999999,0.37962500000000005,False,182,True
chapman_like,CN,RBBB,hybrid_g0.02,0.1,100,0.44542499999999996,0.44185416666666666,0.0022181229552133593,0.5345833333333334,0.46541666666666665,False,182,True
chapman_like,CN,RBBB,hybrid_g0.05,0.1,100,0.5877083333333334,0.585,0.0018451324854570498,0.37035833333333334,0.6296416666666667,False,182,True
chapman_like,CN,LBBB,split_target,0.1,100,0.9008250000000001,0.8413958333333333,0.03240782762955065,0.09917500000000003,0.9008250000000001,True,39,True
chapman_like,CN,LBBB,weighted_source,0.1,100,0.9551499999999998,0.9541666666666667,0.0007253351715662955,0.04485,0.9551499999999998,True,39,True
chapman_like,CN,LBBB,hybrid_g0,0.1,100,0.9551499999999998,0.9541666666666667,0.0007253351715662955,0.04485,0.9551499999999998,True,39,True
chapman_like,CN,LBBB,hybrid_g0.02,0.1,100,0.9659750000000003,0.9645833333333333,0.0006801245800913566,0.034025,0.9659750000000003,True,39,True
chapman_like,CN,LBBB,hybrid_g0.05,0.1,100,0.9744333333333333,0.9733333333333334,0.0005878397362849441,0.025566666666666668,0.9744333333333333,True,39,True
chapman_like,CN,SB,split_target,0.1,100,0.9008916666666668,0.8416875,0.031188496143076002,0.050283333333333326,0.9769666666666665,True,432,True
chapman_like,CN,SB,weighted_source,0.1,100,0.8604833333333335,0.8581041666666667,0.0014321700705960507,0.09878333333333333,0.9012166666666669,False,432,True
chapman_like,CN,SB,hybrid_g0,0.1,100,0.8604833333333335,0.8581041666666667,0.0014321700705960507,0.09878333333333333,0.9012166666666669,False,432,True
chapman_like,CN,SB,hybrid_g0.02,0.1,100,0.8820416666666668,0.8801875,0.0014000248013676226,0.061241666666666666,0.9387583333333334,False,432,True
chapman_like,CN,SB,hybrid_g0.05,0.1,100,0.917975,0.91625,0.001157733657721935,0.007541666666666668,1.0075416666666666,True,432,True
chapman_like,CN,STACH,split_target,0.1,100,0.9019083333333333,0.8515416666666666,0.03017208629953631,0.09515833333333334,0.9048416666666667,True,140,True
chapman_like,CN,STACH,weighted_source,0.1,100,0.9384250000000001,0.9366666666666666,0.0010044691798822534,0.05631666666666667,0.9436833333333332,True,140,True
chapman_like,CN,STACH,hybrid_g0,0.1,100,0.9384250000000001,0.9366666666666666,0.0010044691798822534,0.05631666666666667,0.9436833333333332,True,140,True
chapman_like,CN,STACH,hybrid_g0.02,0.1,100,0.9492416666666668,0.9479166666666666,0.0008924451430386877,0.04311666666666666,0.9568833333333334,True,140,True
chapman_like,CN,STACH,hybrid_g0.05,0.1,100,0.9692083333333332,0.9683333333333334,0.0007034142923389101,0.020775000000000002,0.9792249999999999,True,140,True
code15_like,BR,AF,split_target,0.1,100,0.9111750000000001,0.8614375,0.02644789032754367,0.6920583333333334,1.6920583333333332,True,37,True
code15_like,BR,AF,weighted_source,0.1,100,0.37383333333333335,0.37102083333333336,0.001781463193869327,0.4149583333333334,0.5850416666666667,False,37,True
code15_like,BR,AF,hybrid_g0,0.1,100,0.37383333333333335,0.37102083333333336,0.001781463193869327,0.4149583333333334,0.5850416666666667,False,37,True
code15_like,BR,AF,hybrid_g0.02,0.1,100,0.4247416666666667,0.42204166666666665,0.0017358355336839961,0.31508333333333327,0.6849166666666666,False,37,True
code15_like,BR,AF,hybrid_g0.05,0.1,100,0.49398333333333333,0.49125,0.0016856419812311515,0.17809999999999995,0.8219,False,37,True
code15_like,BR,IAVB,split_target,0.1,100,0.9052583333333334,0.8482916666666667,0.032610058306874856,0.075,0.925,True,50,True
code15_like,BR,IAVB,weighted_source,0.1,100,0.7942333333333333,0.7914375,0.0018130698337963142,0.19258333333333333,0.8074166666666666,False,50,True
code15_like,BR,IAVB,hybrid_g0,0.1,100,0.7942333333333333,0.7914375,0.0018130698337963142,0.19258333333333333,0.8074166666666666,False,50,True
code15_like,BR,IAVB,hybrid_g0.02,0.1,100,0.8216583333333333,0.8189375,0.001799864964070607,0.16394999999999998,0.8360499999999998,False,50,True
code15_like,BR,IAVB,hybrid_g0.05,0.1,100,0.8786499999999998,0.87625,0.0014566895497821323,0.10535,0.8946500000000001,False,50,True
code15_like,BR,RBBB,split_target,0.1,100,0.8977250000000001,0.8468541666666667,0.028496248534773057,0.102275,0.8977250000000001,False,65,True
code15_like,BR,RBBB,weighted_source,0.1,100,0.9611083333333333,0.9601875,0.0006749999999999977,0.03808333333333334,0.9619166666666666,True,65,True
code15_like,BR,RBBB,hybrid_g0,0.1,100,0.9611083333333333,0.9601875,0.0006749999999999977,0.03808333333333334,0.9619166666666666,True,65,True
code15_like,BR,RBBB,hybrid_g0.02,0.1,100,0.9663,0.9654166666666667,0.0006103277807866846,0.0317,0.9683000000000002,True,65,True
code15_like,BR,RBBB,hybrid_g0.05,0.1,100,0.9703333333333333,0.9695833333333334,0.0005951190357119033,0.025275,0.974725,True,65,True
code15_like,BR,LBBB,split_target,0.1,100,0.9029083333333334,0.8581458333333334,0.02578321617081761,0.09709166666666665,0.9029083333333334,True,19,False
code15_like,BR,LBBB,weighted_source,0.1,100,0.3236333333333334,0.32102083333333337,0.001802852677779797,0.6763666666666667,0.3236333333333334,False,19,False
code15_like,BR,LBBB,hybrid_g0,0.1,100,0.3236333333333334,0.32102083333333337,0.001802852677779797,0.6763666666666667,0.3236333333333334,False,19,False
code15_like,BR,LBBB,hybrid_g0.02,0.1,100,0.4212916666666668,0.41791666666666666,0.0020720527931927303,0.5787083333333333,0.4212916666666668,False,19,False
code15_like,BR,LBBB,hybrid_g0.05,0.1,100,0.6197333333333335,0.6168541666666667,0.0020995369859937085,0.3802666666666666,0.6197333333333335,False,19,False
code15_like,BR,SB,split_target,0.1,100,0.9019583333333333,0.8471458333333334,0.03391976337214372,0.06600833333333334,0.9390416666666667,True,100,True
code15_like,BR,SB,weighted_source,0.1,100,0.7647750000000001,0.7616666666666667,0.001843174345162893,0.23287499999999997,0.7671250000000001,False,100,True
code15_like,BR,SB,hybrid_g0,0.1,100,0.7647750000000001,0.7616666666666667,0.001843174345162893,0.23287499999999997,0.7671250000000001,False,100,True
code15_like,BR,SB,hybrid_g0.02,0.1,100,0.8181083333333332,0.8154166666666667,0.0017779709096482905,0.17234999999999995,0.82765,False,100,True
code15_like,BR,SB,hybrid_g0.05,0.1,100,0.876775,0.8741666666666666,0.0015133893161451296,0.09965833333333332,0.9003416666666666,False,100,True
code15_like,BR,STACH,split_target,0.1,100,0.9000166666666667,0.8557916666666667,0.03146724046087013,0.09993333333333335,0.9000666666666666,True,66,True
code15_like,BR,STACH,weighted_source,0.1,100,0.9670833333333334,0.9660208333333333,0.0006871842709362791,0.0321,0.9679000000000001,True,66,True
