site,country,label,n,n_positive,pi_s,pi_t_true,pi_t_bbse,prior_ratio,total,d_label,d_concept,interaction,residual,label_shift_share,label_shift_share_bbse,free_fraction,free_fraction_bbse,realized_gain,realized_gain_bbse,ece_before,ece_after_prior_fix,ece_l1,d_label_l1,d_concept_l1,sign_agreement,gamma_min,gof_p,concept_shift_detected,bbse_degenerate,prior_ratio_implausible,bbse_sigma_min,bbse_trustworthy,reliable_estimate
georgia_like,US,AF,5000,474,0.12160493827160494,0.0948,0.1083207610664211,0.7795736040609137,0.0001678049658811926,0.0004571474517858519,0.00032063894824860197,-0.0006099814341532612,-5.421010862427522e-20,1.0,0.6318802786729819,1.0,0.6318802786729819,-0.003869907392575259,0.03173634216024911,0.01278266028838918,0.012832127999935996,0.01278266028838918,0.01432029930726952,0.012832127999935996,0.6668000000000001,0.1391573292402149,0.003992015968063872,True,False,False,0.06799145615477863,False,True
georgia_like,US,IAVB,5000,337,0.07530864197530865,0.0674,0.12382731890744206,0.894983606557377,0.0008811889332908496,8.551679787574843e-05,0.0005383741727751047,0.00025729796263999666,-1.0842021724855044e-19,0.09704706294526548,1.0,0.09704706294526548,1.0,0.15854885580474043,-1.444382334682577,0.024933086774424393,0.0209799743946591,0.024933086774424393,0.007999786894649153,0.0209799743946591,0.5334000000000001,0.10746956521739136,0.06387225548902195,False,False,False,0.014823404671683702,True,True
georgia_like,US,RBBB,5000,297,0.07037037037037037,0.0594,0.0812191053644045,0.8441052631578947,-1.9161676256341244e-05,1.7476410425227034e-21,-1.9161676321040314e-05,6.469906371430494e-14,3.3881317890172014e-21,,,,,,,0.00020000006519100224,0.00020000005438626154,0.00020000006519100224,1.0804740702141657e-11,0.00020000005438626154,1.0,0.09492307692307696,0.05588822355289421,False,False,False,0.06868348199411263,True,True
georgia_like,US,LBBB,5000,126,0.03271604938271605,0.0252,0.028357972762701026,0.7702641509433962,-4.71273668878459e-05,9.569003679249871e-21,-4.7127366887845847e-05,-5.4181888115015194e-20,-6.776263578034403e-21,,,,,,,4.629532531955966e-11,7.157791527508046e-11,4.629532531955966e-11,2.5282593551469003e-11,7.157791527508046e-11,0.9332,0.1296,0.005988023952095809,True,False,False,0.03255260413504653,False,True
georgia_like,US,SB,5000,384,0.0808641975308642,0.0768,0.10068969165335134,0.9497404580152671,0.0005314978330160241,8.2675052448788e-06,0.0005149247681814046,8.305559589740854e-06,-1.0842021724855044e-19,0.015555106213630682,0.2953846343303542,0.015555106213630682,0.2953846343303542,-0.025956380302383328,-0.09274114090364151,0.008976643452515374,0.009209644623807762,0.008976643452515374,0.001080845722743193,0.009209644623807762,0.9334,0.1270534351145038,0.003992015968063872,True,False,False,0.06288299562501322,False,True
georgia_like,US,STACH,5000,441,0.10123456790123457,0.0882,0.0747924209946546,0.8712439024390244,0.00029061980508251497,3.503363607907213e-05,0.0005254082251473938,-0.00026982205614395094,5.421010862427522e-20,0.1205479993668192,0.5436687811937014,0.1205479993668192,0.5436687811937014,-0.16535624862997483,-0.34430102907713883,0.006387007072010097,0.007443138601410806,0.006387007072010097,0.0020233130511045075,0.007443138601410806,0.8666,0.14779872430900073,0.003992015968063872,True,False,False,0.07156874687662977,False,True
ptbxl_like,DE,AF,5000,410,0.12160493827160494,0.082,0.0,0.6743147208121828,0.0030244037119840994,0.0004019253688105776,0.005491289933807126,-0.0028688115906336034,-8.673617379884035e-19,0.13289408659894233,1.0,0.13289408659894233,1.0,-0.2738688985204647,-1.3205113225117222,0.03533703938632076,0.045014755440026706,0.03533703938632076,0.009716396889665654,0.045014755440026706,0.0666,0.5145900230237912,0.001996007984031936,True,True,True,0.06799145615477863,False,True
ptbxl_like,DE,IAVB,5000,196,0.07530864197530865,0.0392,0.15651056344316444,0.5205245901639344,0.003288504440721747,0.001954546027228779,0.0002563526130308924,0.001077605800462076,0.0,0.5943571196150805,1.0,0.5943571196150805,1.0,0.6867312260460579,-1.8743810566787047,0.041302527543134425,0.012938792164636649,0.041302527543134425,0.03700325226871198,0.012938792164636649,0.5332000000000001,0.10463225806451612,0.10578842315369262,False,False,False,0.014823404671683702,True,True
ptbxl_like,DE,RBBB,5000,276,0.07037037037037037,0.0552,0.3344558906855501,0.7844210526315789,-2.818406011028735e-05,1.7076979093831931e-13,-2.818470099215022e-05,6.407110930790309e-10,3.3881317890172014e-21,,,,,,,0.00020046861977797916,0.0002003618142442523,0.00020046861977797916,1.0680553372686142e-07,0.0002003618142442523,1.0,0.5708923076923076,0.001996007984031936,True,False,False,0.06868348199411263,False,True
ptbxl_like,DE,LBBB,5000,131,0.03271604938271605,0.0262,0.0037562596503187056,0.8008301886792453,-4.781967284301428e-05,2.051455208983634e-13,-4.7819671037705265e-05,-2.010454534336581e-12,0.0,,,,,,,4.5655339209672435e-07,5.736162845776768e-07,4.5655339209672425e-07,1.1706289248098361e-07,5.736162845776767e-07,0.9331999999999998,0.4048571428571429,0.001996007984031936,True,False,False,0.03255260413504653,False,True
