site,country,is_source,label,n,n_positive,prevalence,prevalence_source,prevalence_ratio,mean_score,auroc,auroc_lo,auroc_hi,auprc,ece,ece_lo,ece_hi,ece2,mce,nll,brier,reliability,resolution,reliable_estimate
mimic_like,US,True,AF,1619,189,0.11673872760963558,0.12160493827160494,0.9599834453178154,0.1118537543830387,0.929019129019129,0.9100514300514301,0.9491834091834092,0.7274422243950024,0.01600749965547975,0.014896298685183182,0.030696526217616628,0.00030639278650223265,0.09908359584129939,0.19208859771523154,0.0528462164319656,0.0008200861607708884,0.048168042829034835,True
mimic_like,US,True,IAVB,1619,121,0.07473749227918468,0.07530864197530865,0.9924158810842555,0.08318095602626288,0.642934380827329,0.5963928488673603,0.6933470522680378,0.23180440013109155,0.02787430526965175,0.021404803735218084,0.0430406739161053,0.0006448725386740707,0.09068603602541894,0.2466492413670313,0.06392739077284607,0.0012702304931129697,0.002296006291132557,True
mimic_like,US,True,RBBB,1619,102,0.06300185299567634,0.07037037037037037,0.8952894899385585,0.06316785125886552,1.0,1.0,1.0,1.0,0.00016599826318918208,8.714119324113053e-42,0.0006639968664945127,-3.229816626128025e-05,0.002488436926882276,0.0001934345344718439,4.4613255184900434e-05,4.130762079182835e-07,0.05553251657058328,True
mimic_like,US,True,LBBB,1619,49,0.030265596046942556,0.03271604938271605,0.9250993508688102,0.030265595957540775,1.0,1.0,1.0,0.9999999999999999,8.940178258217698e-11,9.22211534289065e-13,2.8042366222467984e-10,-0.00015452320584714518,1.3401988963046563e-09,1.0003077334864594e-07,1.3927295788797176e-17,1.198161660400691e-19,0.012815606717221307,True
mimic_like,US,True,SB,1619,109,0.06732550957381099,0.0808641975308642,0.8325750038898764,0.07159034845977613,0.9896226988273893,0.9860231484294307,0.9936153472264415,0.841098246676828,0.0051360171733237404,0.002116163685609925,0.013214806770434559,7.232532975798631e-05,0.06312527240148635,0.06555090341135307,0.020720364828010596,0.0002711049224752237,0.04152336891369328,True
mimic_like,US,True,STACH,1619,157,0.09697344039530574,0.10123456790123457,0.9579083746365566,0.10096712493184483,0.9926590396194028,0.9888712565458712,0.9956701403713611,0.9407768757131103,0.005371163796747205,0.003694977101379796,0.012904919036278788,-8.744218683468482e-05,0.030473535051073752,0.06652933229775461,0.0199650573557107,0.00011764447550896665,0.06562531938243313,True
georgia_like,US,False,AF,5000,474,0.0948,0.12160493827160494,0.7795736040609137,0.10538308761505324,0.9257226414285208,0.9100914710318814,0.9392875271986889,0.6919448459299425,0.01278266028838918,0.011307265589062825,0.020271302775270072,0.00016780496588119265,0.03363802731043475,0.17376113900688475,0.046637948856527535,0.00031131001049726823,0.038118449921058783,True
georgia_like,US,False,IAVB,5000,337,0.0674,0.07530864197530865,0.894983606557377,0.08063329002923089,0.6322033865947662,0.6042350889094081,0.6621778811796382,0.17886908213358055,0.024933086774424393,0.020417119399246918,0.031436528070573656,0.0008811889332908495,0.07808053903227033,0.2365615280660806,0.06035221864834084,0.001066135462678617,0.0013831431486576399,True
georgia_like,US,False,RBBB,5000,297,0.0594,0.07037037037037037,0.8441052631578947,0.059600000065191,1.0,1.0,1.0,1.0,0.00020000006519100224,2.639658818819205e-47,0.000800000001720624,-1.9161676256341248e-05,0.0029940129519611114,0.0032237191554456536,0.00019999999999994672,5.988027855749274e-07,0.049291400479041916,True
georgia_like,US,False,LBBB,5000,126,0.0252,0.03271604938271605,0.7702641509433962,0.025199999953704692,1.0,1.0,1.0,0.9999999999999999,4.629532531955966e-11,1.0946665238027427e-12,1.7859706779293058e-10,-4.7127366887845894e-05,6.930436780017146e-10,1.000343328329938e-07,1.6087427803735186e-17,3.2084677246492874e-20,0.008871546826347302,True
